
ctrl-k,ctrl-c, 		***comment html  
ctrl-k,ctrl-u, 		***uncomment html  
shift-alt, arrowdown , 	***copy line  
Ctrl+X			***Cut line (empty selection)	editor.action.clipboardCutAction
Ctrl+C			***Copy line (empty selection)	editor.action.clipboardCopyAction
Ctrl+Shift+K		***Delete Line	editor.action.deleteLines
Ctrl+Enter		Insert Line Below	editor.action.insertLineAfter
Ctrl+Shift+Enter	Insert Line Above	editor.action.insertLineBefore
Alt+Down		***Move Line Down	editor.action.moveLinesDownAction
Alt+Up			***Move Line Up	editor.action.moveLinesUpAction
Shift+Alt+Down		***Copy Line Down	editor.action.copyLinesDownAction
Shift+Alt+Up		***Copy Line Up	editor.action.copyLinesUpAction
Ctrl+D			Add Selection To Next Find Match	editor.action.addSelectionToNextFindMatch
Ctrl+K Ctrl+D		Move Last Selection To Next Find Match	editor.action.moveSelectionToNextFindMatch
Ctrl+U			Undo last cursor operation	cursorUndo
Shift+Alt+I		Insert cursor at end of each line selected	editor.action.insertCursorAtEndOfEachLineSelected
Ctrl+Shift+L		Select all occurrences of current selection	editor.action.selectHighlights
Ctrl+F2			***Select all occurrences of current word	editor.action.changeAll
Ctrl+I			***Select current line	expandLineSelection
Ctrl+Alt+Down		Insert Cursor Below	editor.action.insertCursorBelow
Ctrl+Alt+Up		Insert Cursor Above	editor.action.insertCursorAbove
Ctrl+Shift+\		Jump to matching bracket	editor.action.jumpToBracket
Ctrl+]			Indent Line	editor.action.indentLines
Ctrl+[			Outdent Line	editor.action.outdentLines
Home			Go to Beginning of Line	cursorHome
End			Go to End of Line	cursorEnd
Ctrl+End		Go to End of File	cursorBottom
Ctrl+Home		Go to Beginning of File	cursorTop
Ctrl+Down		Scroll Line Down	scrollLineDown
Ctrl+Up			Scroll Line Up	scrollLineUp
Alt+PageDown		Scroll Page Down	scrollPageDown
Alt+PageUp		Scroll Page Up	scrollPageUp
Ctrl+Shift+[		***Fold (collapse) region	editor.fold
Ctrl+Shift+]		***Unfold (uncollapse) region	editor.unfold
Ctrl+K Ctrl+[		Fold (collapse) all subregions	editor.foldRecursively
Ctrl+K Ctrl+]		Unfold (uncollapse) all subregions	editor.unfoldRecursively
Ctrl+K Ctrl+0		Fold (collapse) all regions	editor.foldAll
Ctrl+K Ctrl+J		Unfold (uncollapse) all regions	editor.unfoldAll
Ctrl+K Ctrl+C		Add Line Comment	editor.action.addCommentLine
Ctrl+K Ctrl+U		Remove Line Comment	editor.action.removeCommentLine
Ctrl+/			Toggle Line Comment	editor.action.commentLine
Shift+Alt+A		Toggle Block Comment	editor.action.blockComment
Ctrl+F			***Find	actions.find
Ctrl+H			***Replace	editor.action.startFindReplaceAction
F3			Find Next	editor.action.nextMatchFindAction
Shift+F3		Find Previous	editor.action.previousMatchFindAction
Alt+Enter		Select All Occurrences of Find Match	editor.action.selectAllMatches
Alt+C			Toggle Find Case Sensitive	toggleFindCaseSensitive
Alt+R			Toggle Find Regex	toggleFindRegex
Alt+W			Toggle Find Whole Word	toggleFindWholeWord
Ctrl+M			Toggle Use of Tab Key for Setting Focus	editor.action.toggleTabFocusMode
